frame,object_id,label,score,x1,y1,x2,y2,X,Y,Z
4,4,car,0.285,687,229,751,274,2.025,1.251,12.460
4,5,pedestrian,0.282,271,220,328,322,-3.549,1.055,8.239
5,0,pedestrian,0.758,526,202,566,338,-0.748,1.152,9.103
5,1,pedestrian,0.570,239,216,319,358,-3.631,1.189,7.897
5,2,car,0.414,1264,259,1344,298,6.410,0.897,6.476
5,3,cyclist,0.403,171,301,347,454,-3.920,2.238,8.033
5,4,pedestrian,0.397,337,205,364,290,-7.652,2.022,21.336
5,5,car,0.331,687,228,750,274,2.014,1.241,12.448
6,0,pedestrian,0.728,530,206,570,335,-0.684,1.138,8.942
6,1,pedestrian,0.587,193,228,265,343,-4.462,1.249,8.410
6,2,cyclist,0.475,196,320,301,450,-4.008,2.305,7.969
6,3,car,0.385,1263,259,1343,297,6.307,0.880,6.381
6,4,pedestrian,0.381,299,210,324,290,-9.678,2.299,23.387
6,5,pedestrian,0.345,330,206,358,292,-7.595,2.000,20.647
6,6,car,0.264,688,228,750,274,2.001,1.227,12.309
6,7,car,0.257,1180,251,1247,296,5.660,0.864,6.567
7,0,pedestrian,0.540,536,218,578,338,-0.586,1.213,8.800
7,1,pedestrian,0.526,140,220,253,429,-4.705,1.662,8.162
7,2,pedestrian,0.497,331,210,364,289,-7.662,2.060,21.113
7,3,pedestrian,0.445,283,208,311,293,-12.004,2.736,27.639
7,4,car,0.369,1262,259,1342,297,6.298,0.880,6.381
7,5,cyclist,0.324,112,304,287,470,-4.696,2.397,8.206
8,0,pedestrian,0.877,542,216,591,339,-0.460,1.187,8.650
8,1,pedestrian,0.822,97,222,234,445,-5.132,1.790,8.273
8,2,cyclist,0.811,38,318,254,501,-5.479,2.739,8.457
8,3,car,0.383,1264,259,1344,298,6.438,0.901,6.503
8,4,pedestrian,0.367,330,210,362,287,-8.537,2.249,23.387
8,5,pedestrian,0.344,287,210,317,282,-11.598,2.514,27.146
8,6,car,0.317,688,228,749,274,2.004,1.235,12.384
8,7,pedestrian,0.268,220,207,251,278,-24.959,4.198,47.879
9,0,pedestrian,0.881,542,221,599,338,-0.402,1.184,8.457
9,1,cyclist,0.686,2,331,188,508,-5.989,2.812,8.318
9,2,pedestrian,0.658,337,203,366,289,-7.326,1.900,20.508
9,3,pedestrian,0.617,297,207,325,285,-9.267,2.071,22.355
9,4,pedestrian,0.411,224,205,255,278,-24.884,4.163,48.259
9,5,car,0.378,1262,259,1343,298,6.376,0.895,6.455
9,6,car,0.276,688,228,750,274,2.063,1.266,12.694
10,0,pedestrian,0.857,562,216,602,341,-0.259,1.150,8.296
10,1,pedestrian,0.666,293,209,325,288,-9.836,2.266,23.568
10,2,pedestrian,0.488,331,206,364,289,-6.874,1.795,18.943
10,3,pedestrian,0.428,222,211,253,282,-24.439,4.400,47.137
10,4,car,0.386,1262,259,1342,298,6.392,0.897,6.476
10,5,car,0.340,688,228,749,275,2.025,1.256,12.512
11,0,pedestrian,0.682,292,211,324,286,-10.789,2.478,25.765
11,1,pedestrian,0.494,329,207,360,287,-7.053,1.807,19.212
11,2,pedestrian,0.434,223,211,255,280,-24.339,4.333,47.137
11,3,car,0.413,1263,259,1342,297,6.323,0.883,6.401
11,4,pedestrian,0.390,571,202,617,334,-0.115,1.001,8.086
11,5,car,0.376,688,228,749,275,1.988,1.233,12.284
12,0,pedestrian,0.853,580,217,622,343,-0.035,1.117,7.938
12,1,pedestrian,0.666,289,210,324,290,-11.633,2.717,27.639
12,2,pedestrian,0.601,227,210,261,282,-22.440,4.081,44.062
12,3,pedestrian,0.462,325,206,354,292,-9.980,2.584,26.669
12,4,car,0.410,1265,259,1344,297,6.307,0.878,6.367
13,0,pedestrian,0.931,588,213,635,347,0.082,1.098,7.806
13,1,pedestrian,0.528,323,206,351,291,-9.375,2.387,24.819
13,2,pedestrian,0.478,287,210,320,290,-11.540,2.668,27.146
13,3,pedestrian,0.446,229,211,260,284,-21.327,3.973,41.935
13,4,car,0.433,1263,259,1343,298,6.367,0.893,6.441
14,0,pedestrian,0.793,596,218,642,347,0.163,1.115,7.726
14,1,pedestrian,0.548,289,209,322,289,-11.362,2.606,26.905
14,2,pedestrian,0.485,314,207,345,289,-7.334,1.803,18.884
14,3,car,0.404,1265,259,1344,297,6.367,0.886,6.428
14,4,pedestrian,0.340,227,207,258,284,-21.899,3.936,42.821
14,5,car,0.289,1190,254,1337,299,6.091,0.887,6.531
15,0,pedestrian,0.770,605,209,648,351,0.240,1.066,7.572
15,1,pedestrian,0.591,282,208,315,292,-12.223,2.780,28.282
15,2,pedestrian,0.485,312,206,351,299,-7.611,2.010,19.742
15,3,car,0.429,1265,259,1343,297,6.296,0.877,6.360
15,4,pedestrian,0.378,228,209,260,284,-21.580,3.955,42.374
15,5,car,0.271,687,228,748,276,2.032,1.281,12.668
16,0,pedestrian,0.594,610,212,655,348,0.300,1.049,7.452
16,1,pedestrian,0.516,286,210,318,288,-12.083,2.740,28.282
16,2,pedestrian,0.507,229,208,261,288,-21.445,4.031,42.227
16,3,car,0.446,1266,259,1344,298,6.406,0.896,6.462
16,4,pedestrian,0.429,321,207,349,291,-7.538,1.919,19.807
17,0,pedestrian,0.543,230,208,261,290,-21.122,4.035,41.648
17,1,pedestrian,0.499,307,213,347,306,-7.983,2.276,20.371
17,2,car,0.487,1265,259,1343,297,6.349,0.884,6.414
17,3,pedestrian,0.473,616,210,659,351,0.351,1.050,7.424
17,4,pedestrian,0.453,280,210,314,288,-12.882,2.873,29.662
17,5,pedestrian,0.330,1078,226,1115,383,9.581,2.413,13.757
17,6,car,0.254,1153,252,1257,303,5.434,0.877,6.394
18,0,pedestrian,0.974,622,215,674,354,0.453,1.072,7.291
18,1,pedestrian,0.830,1091,227,1132,387,15.754,3.927,21.952
18,2,pedestrian,0.698,310,211,349,307,-7.473,2.136,19.242
18,3,pedestrian,0.562,226,208,258,286,-21.183,3.890,41.365
18,4,car,0.533,1265,258,1343,297,6.323,0.876,6.387
18,5,pedestrian,0.441,282,211,315,287,-12.455,2.792,28.818
19,0,pedestrian,0.986,623,212,684,356,0.493,1.033,7.054
19,1,pedestrian,0.758,1089,219,1146,396,47.993,11.871,66.094
19,2,pedestrian,0.532,226,207,256,288,-20.016,3.693,38.978
19,3,car,0.518,1264,259,1342,297,6.374,0.889,6.448
19,4,pedestrian,0.399,321,207,347,293,-7.169,1.845,18.767
19,5,pedestrian,0.323,281,208,312,290,-12.419,2.765,28.548
19,6,car,0.317,1151,252,1250,306,5.521,0.912,6.545
19,7,pedestrian,0.309,366,213,408,304,-5.556,1.996,18.097
19,8,car,0.279,1236,253,1309,293,6.303,0.872,6.667
20,0,pedestrian,0.979,636,215,691,355,0.581,1.022,6.918
20,1,pedestrian,0.645,1096,222,1163,389,10.914,2.596,14.687
20,2,car,0.528,1265,259,1345,298,6.338,0.886,6.394
20,3,pedestrian,0.497,326,206,355,288,-6.707,1.692,17.990
20,4,pedestrian,0.415,277,210,310,287,-12.540,2.745,28.548
20,5,car,0.367,1150,252,1250,305,5.546,0.912,6.581
20,6,pedestrian,0.301,225,208,255,286,-20.071,3.666,38.978
20,7,car,0.296,1236,251,1315,301,6.195,0.881,6.524
21,0,pedestrian,0.887,1098,225,1172,392,21.537,5.192,28.682
21,1,pedestrian,0.840,650,217,703,356,0.695,1.017,6.786
21,2,car,0.529,1269,258,1346,297,6.361,0.877,6.394
21,3,car,0.527,1185,254,1337,303,6.010,0.897,6.469
21,4,pedestrian,0.521,323,211,355,290,-7.169,1.893,19.121
21,5,pedestrian,0.394,230,209,259,290,-19.697,3.779,38.730
21,6,pedestrian,0.388,275,210,305,290,-12.986,2.873,29.234
22,0,pedestrian,0.916,659,220,709,359,0.763,1.040,6.749
22,1,pedestrian,0.904,1121,226,1177,391,50.390,11.836,65.383
22,2,car,0.537,1267,259,1345,298,6.321,0.882,6.367
22,3,car,0.508,1188,254,1336,301,5.975,0.881,6.421
22,4,pedestrian,0.500,280,204,309,293,-12.800,2.811,29.234
22,5,pedestrian,0.423,322,211,359,306,-7.062,2.090,18.943
22,6,car,0.422,1178,253,1254,299,5.545,0.865,6.407
22,7,pedestrian,0.360,229,208,259,291,-20.508,3.929,40.269
23,0,pedestrian,0.791,1128,223,1177,395,19.652,4.604,25.336
23,1,car,0.648,1264,259,1341,298,6.376,0.895,6.455
23,2,car,0.525,1183,254,1251,299,5.596,0.876,6.455
23,3,car,0.476,1199,253,1334,303,6.106,0.899,6.517
23,4,pedestrian,0.393,332,214,364,287,-6.797,1.858,18.767
23,5,pedestrian,0.391,665,221,737,359,0.910,1.028,6.638
23,6,pedestrian,0.313,282,206,312,289,-12.114,2.643,27.893
23,7,pedestrian,0.278,370,212,407,308,-4.791,1.767,15.712
23,8,pedestrian,0.274,231,211,262,288,-17.879,3.450,35.352
24,0,pedestrian,0.924,667,218,734,361,0.878,0.993,6.441
24,1,pedestrian,0.783,1111,220,1185,398,42.525,10.046,55.278
24,2,car,0.625,1266,258,1345,298,6.363,0.884,6.414
24,3,car,0.564,1181,254,1251,299,5.575,0.875,6.441
24,4,pedestrian,0.512,326,211,357,290,-6.991,1.864,18.825
24,5,pedestrian,0.434,274,209,302,289,-12.762,2.765,28.548
24,6,pedestrian,0.361,371,211,410,309,-5.019,1.868,16.614
25,0,pedestrian,0.915,681,213,737,357,0.943,0.939,6.354
25,1,pedestrian,0.750,1109,222,1208,397,21.097,4.909,26.905
25,2,pedestrian,0.676,381,214,420,310,-4.758,1.904,16.523
25,3,car,0.588,1263,258,1345,298,6.349,0.884,6.414
25,4,pedestrian,0.522,277,208,307,290,-12.842,2.818,29.094
25,5,pedestrian,0.499,326,211,358,289,-6.629,1.758,17.884
25,6,car,0.494,1190,254,1245,299,6.113,0.957,7.046
26,0,pedestrian,0.833,685,212,747,363,0.996,0.953,6.295
26,1,pedestrian,0.607,331,210,363,311,-6.465,2.012,17.780
26,2,car,0.597,1261,258,1342,299,6.261,0.880,6.347
26,3,pedestrian,0.550,388,215,424,309,-4.313,1.774,15.394
26,4,pedestrian,0.320,273,207,303,294,-12.822,2.839,28.682
26,5,pedestrian,0.287,1176,228,1232,390,5.639,1.208,6.645
27,0,pedestrian,0.686,385,213,424,310,-4.207,1.707,14.903
27,1,pedestrian,0.641,332,210,368,311,-6.427,2.023,17.884
27,2,pedestrian,0.515,1174,225,1236,393,5.660,1.210,6.660
27,3,pedestrian,0.496,278,205,306,294,-12.035,2.661,27.267
27,4,car,0.458,1262,258,1348,299,6.409,0.896,6.465
27,5,pedestrian,0.381,230,209,261,286,-16.061,3.001,31.670
27,6,car,0.316,1233,251,1309,302,6.348,0.914,6.730
27,7,pedestrian,0.274,681,224,758,358,1.030,0.986,6.308
28,0,pedestrian,0.795,338,210,375,313,-5.678,1.857,16.215
28,1,pedestrian,0.740,1157,232,1237,407,3.805,0.892,4.538
28,2,pedestrian,0.603,390,212,428,311,-3.920,1.627,14.207
28,3,pedestrian,0.519,282,205,312,295,-11.790,2.668,27.146
28,4,pedestrian,0.436,227,205,256,285,-16.326,2.904,31.836
28,5,car,0.388,1227,254,1380,303,6.751,0.946,6.824
28,6,pedestrian,0.308,683,221,757,358,1.004,0.944,6.123
29,0,pedestrian,0.613,1176,220,1250,392,3.809,0.785,4.422
29,1,pedestrian,0.611,337,210,371,311,-6.363,2.035,17.990
29,2,pedestrian,0.574,226,203,266,293,-15.874,2.992,31.343
29,3,pedestrian,0.414,394,211,435,313,-3.818,1.641,14.240
29,4,car,0.396,1227,256,1385,307,7.631,1.098,7.687
29,5,pedestrian,0.294,280,206,309,294,-11.234,2.522,25.657
29,6,car,0.268,685,227,749,275,2.296,1.433,14.375
30,0,pedestrian,0.643,1174,226,1260,389,3.784,0.784,4.365
30,1,pedestrian,0.624,345,208,379,313,-5.567,1.839,16.258
30,2,car,0.555,683,228,746,275,2.931,1.884,18.767
30,3,pedestrian,0.457,227,204,256,286,-14.436,2.568,28.151
30,4,pedestrian,0.427,279,206,322,298,-11.016,2.594,25.657
30,5,car,0.376,1226,256,1387,308,6.312,0.912,6.354
30,6,pedestrian,0.343,385,209,431,312,-4.195,1.711,15.126
31,0,car,0.577,685,229,749,275,2.040,1.292,12.774
31,1,car,0.500,1262,259,1339,300,6.219,0.884,6.314
31,2,pedestrian,0.451,344,210,380,311,-5.657,1.869,16.523
31,3,pedestrian,0.422,369,213,416,312,-4.945,1.916,16.523
31,4,pedestrian,0.334,331,212,358,308,-7.272,2.227,19.807
32,0,pedestrian,0.829,366,210,406,316,-4.736,1.792,15.355
32,1,pedestrian,0.668,344,209,376,312,-5.509,1.806,15.960
32,2,car,0.602,1271,259,1342,300,6.292,0.887,6.334
32,3,pedestrian,0.496,1203,230,1298,413,4.040,0.881,4.419
32,4,car,0.488,686,229,752,273,1.993,1.222,12.259
32,5,pedestrian,0.394,330,207,355,314,-7.328,2.241,19.807
33,0,pedestrian,0.937,1221,233,1304,407,4.039,0.856,4.337
33,1,pedestrian,0.856,367,211,410,321,-4.778,1.895,15.672
33,2,car,0.540,686,229,752,274,1.949,1.204,11.993
33,3,pedestrian,0.490,331,208,363,312,-7.019,2.170,19.304
33,4,car,0.434,1281,259,1346,299,6.335,0.880,6.314
33,5,pedestrian,0.305,238,207,274,298,-13.923,2.880,28.282
33,6,pedestrian,0.285,424,215,459,316,-2.969,1.552,12.910
33,7,pedestrian,0.262,298,203,324,297,-10.330,2.449,24.921
34,0,pedestrian,0.863,1227,229,1306,414,3.870,0.824,4.131
34,1,pedestrian,0.789,366,211,406,323,-4.498,1.784,14.582
34,2,car,0.486,686,228,750,274,1.983,1.227,12.309
34,3,pedestrian,0.397,424,212,460,317,-2.868,1.486,12.512
34,4,pedestrian,0.395,325,205,361,314,-7.039,2.130,19.062
34,5,pedestrian,0.355,241,208,276,297,-13.509,2.814,27.639
35,0,pedestrian,0.793,370,210,409,320,-4.233,1.667,13.946
35,1,pedestrian,0.749,422,214,465,314,-2.926,1.521,12.883
35,2,car,0.455,687,228,751,274,2.042,1.253,12.563
35,3,pedestrian,0.374,1225,230,1303,418,3.866,0.841,4.142
35,4,pedestrian,0.309,324,208,356,312,-7.142,2.150,19.121
35,5,pedestrian,0.252,295,219,328,304,-9.217,2.551,22.273
36,0,pedestrian,0.635,1226,232,1319,416,4.009,0.861,4.240
36,1,car,0.523,686,229,753,273,2.047,1.250,12.537
36,2,pedestrian,0.385,368,214,405,318,-4.233,1.663,13.757
36,3,pedestrian,0.376,288,205,332,301,-9.033,2.227,21.717
36,4,pedestrian,0.272,331,205,362,289,-6.515,1.682,17.884
37,0,pedestrian,0.859,1261,231,1340,413,4.111,0.835,4.173
37,1,pedestrian,0.757,442,216,483,315,-2.440,1.465,12.186
37,2,pedestrian,0.677,372,211,410,319,-4.081,1.618,13.543
37,3,pedestrian,0.580,322,214,356,307,-7.524,2.270,20.068
37,4,pedestrian,0.511,272,210,319,306,-10.014,2.515,22.946
37,5,car,0.396,687,228,752,274,2.038,1.245,12.486
37,6,car,0.289,1182,252,1249,295,5.785,0.880,6.689
38,0,pedestrian,0.851,375,211,418,321,-3.994,1.645,13.603
38,1,pedestrian,0.604,326,213,358,307,-7.589,2.302,20.473
38,2,pedestrian,0.589,272,209,315,307,-10.353,2.583,23.568
38,3,pedestrian,0.465,443,216,480,316,-2.395,1.436,11.876
38,4,car,0.358,1158,253,1279,307,5.731,0.928,6.595
38,5,pedestrian,0.351,1282,232,1354,413,4.185,0.832,4.145
38,6,car,0.314,687,228,751,274,1.997,1.225,12.284
39,0,pedestrian,0.798,384,213,423,321,-3.800,1.638,13.393
39,1,pedestrian,0.662,321,214,354,311,-7.419,2.282,19.678
39,2,pedestrian,0.649,1272,229,1364,419,4.357,0.876,4.316
39,3,pedestrian,0.580,451,214,487,319,-2.269,1.444,11.876
39,4,car,0.376,1195,253,1304,306,6.639,1.018,7.273
39,5,car,0.301,688,229,751,274,2.026,1.246,12.409
39,6,pedestrian,0.292,270,211,314,309,-10.484,2.670,23.752
40,0,pedestrian,0.823,393,213,431,323,-3.434,1.564,12.642
40,1,pedestrian,0.786,457,212,495,322,-2.114,1.428,11.671
40,2,pedestrian,0.536,320,216,355,314,-6.926,2.195,18.370
40,3,car,0.474,1188,254,1315,303,7.920,1.199,8.650
40,4,pedestrian,0.369,1286,229,1376,423,4.291,0.859,4.173
40,5,car,0.336,687,228,751,273,2.009,1.223,12.359
40,6,pedestrian,0.258,260,214,309,309,-11.060,2.803,24.469
41,0,pedestrian,0.867,399,210,436,325,-3.315,1.546,12.563
41,1,pedestrian,0.625,325,215,352,312,-7.903,2.470,21.040
41,2,pedestrian,0.480,260,211,300,309,-10.285,2.523,22.438
41,3,car,0.439,1185,254,1327,302,10.268,1.536,11.137
41,4,car,0.390,686,228,751,273,2.004,1.226,12.384
41,5,pedestrian,0.276,1320,228,1386,417,4.523,0.858,4.270
42,0,pedestrian,0.783,395,212,441,326,-3.300,1.569,12.537
42,1,pedestrian,0.732,324,215,364,314,-6.990,2.257,19.002
42,2,pedestrian,0.622,264,212,310,310,-10.529,2.673,23.477
42,3,car,0.545,1184,254,1331,301,6.542,0.971,7.079
42,4,pedestrian,0.521,473,215,508,314,-1.779,1.316,11.076
42,5,car,0.399,1268,258,1339,300,14.635,2.061,14.795
42,6,car,0.279,687,228,751,273,2.034,1.239,12.512
42,7,pedestrian,0.267,417,211,454,284,-2.710,1.077,11.366
43,0,pedestrian,0.881,266,210,310,312,-10.577,2.694,23.660
43,1,pedestrian,0.875,411,209,460,331,-2.837,1.506,11.899
43,2,pedestrian,0.831,319,215,359,314,-7.943,2.517,21.187
43,3,pedestrian,0.743,475,210,512,321,-1.714,1.317,10.956
43,4,pedestrian,0.699,373,214,416,326,-4.718,2.015,15.918
43,5,car,0.577,1270,258,1346,298,27.208,3.768,27.329
43,6,car,0.397,1187,254,1334,300,6.393,0.940,6.886
43,7,car,0.333,687,228,750,274,2.000,1.232,12.359
44,0,pedestrian,0.915,415,209,458,334,-2.798,1.520,11.807
44,1,pedestrian,0.799,480,210,514,326,-1.633,1.334,10.781
44,2,pedestrian,0.778,322,215,361,316,-6.721,2.175,18.097
44,3,pedestrian,0.755,269,209,310,312,-9.983,2.539,22.438
44,4,car,0.583,1273,259,1353,299,9.482,1.317,9.457
44,5,car,0.472,1188,255,1334,299,6.168,0.906,6.638
44,6,pedestrian,0.383,368,213,399,321,-4.953,1.942,15.876
44,7,car,0.256,687,228,750,274,1.988,1.225,12.284
45,0,pedestrian,0.895,417,209,469,331,-2.624,1.458,11.516
45,1,pedestrian,0.786,481,210,523,325,-1.527,1.301,10.575
45,2,pedestrian,0.499,329,216,361,309,-6.138,1.943,16.751
45,3,car,0.471,1270,259,1353,298,11.813,1.636,11.807
45,4,car,0.431,1187,255,1335,299,6.023,0.885,6.483
45,5,pedestrian,0.369,282,214,325,311,-8.588,2.343,20.201
45,6,pedestrian,0.281,366,214,400,313,-4.977,1.868,15.918
46,0,pedestrian,0.957,424,207,469,327,-2.496,1.370,11.198
46,1,pedestrian,0.733,487,211,539,328,-1.348,1.317,10.466
46,2,pedestrian,0.499,332,217,369,311,-6.092,2.006,16.985
46,3,car,0.462,1264,258,1344,298,18.958,2.641,19.152
46,4,pedestrian,0.383,291,212,328,311,-8.068,2.218,19.365
46,5,car,0.322,687,228,750,273,2.008,1.228,12.409
46,6,car,0.284,1152,253,1261,301,5.577,0.893,6.545
47,0,pedestrian,0.831,434,209,479,329,-2.250,1.349,10.781
47,1,pedestrian,0.752,496,210,540,326,-1.240,1.260,10.185
47,2,pedestrian,0.554,335,216,374,316,-5.619,1.925,15.918
47,3,pedestrian,0.459,366,211,401,317,-4.684,1.773,15.014
47,4,car,0.419,1263,259,1342,298,7.790,1.093,7.887
47,5,car,0.254,687,228,749,274,2.006,1.241,12.448
47,6,pedestrian,0.252,294,215,329,313,-7.888,2.251,19.062
48,0,pedestrian,0.907,438,213,481,329,-2.181,1.365,10.668
48,1,pedestrian,0.863,503,211,540,328,-1.174,1.265,10.051
48,2,pedestrian,0.826,296,211,332,313,-7.700,2.163,18.767
48,3,pedestrian,0.755,332,216,369,320,-5.910,2.039,16.479
48,4,pedestrian,0.641,366,214,401,321,-4.803,1.894,15.394
48,5,car,0.419,1264,258,1344,297,6.296,0.873,6.360
48,6,car,0.263,688,228,750,274,2.005,1.230,12.334
49,0,pedestrian,0.865,294,209,335,316,-7.479,2.118,18.260
49,1,pedestrian,0.833,447,212,489,329,-2.018,1.334,10.484
49,2,pedestrian,0.743,370,210,404,322,-4.372,1.722,14.240
49,3,pedestrian,0.644,504,211,543,328,-1.138,1.257,9.985
49,4,pedestrian,0.578,319,216,362,319,-6.551,2.162,17.574
49,5,car,0.411,1265,258,1346,297,6.445,0.891,6.496
49,6,car,0.357,687,229,749,275,1.971,1.237,12.235
50,0,pedestrian,0.921,454,211,495,328,-1.886,1.295,10.289
50,1,pedestrian,0.593,332,218,376,315,-6.075,2.089,17.177
50,2,pedestrian,0.506,384,216,414,309,-3.990,1.595,13.757
50,3,car,0.395,1266,258,1346,297,6.321,0.873,6.367
50,4,pedestrian,0.348,482,210,531,331,-1.387,1.279,10.051
50,5,car,0.296,687,228,749,274,1.987,1.230,12.334
51,0,pedestrian,0.759,327,214,371,316,-6.433,2.131,17.832
51,1,pedestrian,0.672,461,215,495,325,-1.813,1.287,10.168
51,2,pedestrian,0.629,380,218,418,318,-3.911,1.668,13.483
51,3,pedestrian,0.553,473,214,517,329,-1.551,1.293,10.051
51,4,pedestrian,0.541,521,209,558,333,-0.890,1.247,9.745
51,5,car,0.429,1264,259,1344,298,6.404,0.897,6.469
52,0,pedestrian,0.802,379,218,422,324,-3.781,1.681,13.133
52,1,pedestrian,0.776,522,213,561,328,-0.837,1.204,9.457
52,2,pedestrian,0.776,464,206,506,336,-1.682,1.278,9.985
52,3,pedestrian,0.769,318,218,359,320,-6.434,2.144,17.129
52,4,car,0.414,1264,259,1342,297,6.340,0.884,6.414
52,5,pedestrian,0.288,339,219,371,311,-6.086,2.064,17.274
53,0,pedestrian,0.844,311,217,357,323,-6.852,2.270,17.937
53,1,pedestrian,0.769,390,219,434,325,-3.470,1.653,12.774
53,2,pedestrian,0.719,530,208,567,332,-0.730,1.175,9.283
53,3,pedestrian,0.625,467,204,511,333,-1.609,1.230,9.887
53,4,car,0.470,1265,259,1344,298,6.347,0.888,6.407
53,5,car,0.343,1185,252,1251,300,5.695,0.886,6.559
54,0,pedestrian,0.895,315,218,361,320,-6.557,2.181,17.423
54,1,pedestrian,0.876,471,212,521,343,-1.480,1.328,9.683
54,2,pedestrian,0.679,535,221,575,334,-0.634,1.252,9.130
54,3,pedestrian,0.628,395,215,429,326,-3.576,1.675,13.162
54,4,car,0.508,1266,259,1344,298,6.372,0.891,6.428
54,5,car,0.342,1182,252,1250,300,5.610,0.876,6.483
55,0,pedestrian,0.960,478,216,525,345,-1.381,1.346,9.516
55,1,pedestrian,0.886,313,214,354,326,-6.044,1.999,15.794
55,2,pedestrian,0.788,539,221,584,335,-0.547,1.251,9.076
55,3,pedestrian,0.672,376,216,411,325,-4.016,1.716,13.483
55,4,car,0.527,1263,258,1341,297,6.288,0.874,6.370
55,5,car,0.370,1182,252,1252,300,5.674,0.884,6.545
55,6,pedestrian,0.347,433,219,464,303,-2.698,1.396,12.259
56,0,pedestrian,0.897,485,214,534,343,-1.248,1.293,9.326
56,1,pedestrian,0.833,547,219,591,335,-0.441,1.213,8.890
56,2,car,0.589,1265,258,1347,298,6.439,0.894,6.486
56,3,pedestrian,0.569,316,215,357,320,-5.654,1.838,14.940
56,4,pedestrian,0.509,371,214,408,325,-4.083,1.693,13.453
56,5,car,0.423,1184,253,1254,299,5.656,0.878,6.503
56,6,pedestrian,0.417,1107,205,1174,401,22.179,5.065,29.234
56,7,car,0.352,687,228,750,275,2.012,1.249,12.435
56,8,car,0.279,1235,252,1315,301,6.231,0.892,6.567
56,9,pedestrian,0.252,432,221,467,301,-2.607,1.357,11.923
57,0,pedestrian,0.868,559,215,598,338,-0.314,1.178,8.674
57,1,pedestrian,0.821,498,208,534,332,-1.129,1.147,9.062
57,2,car,0.639,1265,258,1344,298,6.367,0.886,6.428
57,3,car,0.527,1188,254,1253,299,5.661,0.882,6.493
57,4,pedestrian,0.501,1093,222,1199,423,68.537,17.958,89.421
57,5,pedestrian,0.496,420,214,454,323,-2.885,1.520,12.210
57,6,pedestrian,0.439,375,231,408,329,-4.081,1.910,13.573
57,7,pedestrian,0.421,316,218,355,310,-5.732,1.782,15.088
57,8,car,0.287,1236,252,1314,300,6.151,0.876,6.483
57,9,pedestrian,0.261,435,218,466,306,-2.615,1.388,12.041
58,0,pedestrian,0.873,503,213,545,344,-1.008,1.234,8.903
58,1,pedestrian,0.786,318,215,368,315,-6.068,1.964,16.434
58,2,pedestrian,0.659,567,212,603,331,-0.230,1.098,8.528
58,3,pedestrian,0.604,421,211,456,328,-2.781,1.495,11.876
58,4,car,0.600,1266,258,1344,298,6.379,0.887,6.435
58,5,pedestrian,0.565,371,212,411,327,-4.127,1.724,13.695
58,6,car,0.441,1193,253,1249,299,5.817,0.900,6.667
58,7,car,0.300,1234,253,1315,301,6.200,0.892,6.538
59,0,pedestrian,0.672,318,211,372,321,-6.276,2.071,17.129
59,1,pedestrian,0.665,502,213,555,342,-0.942,1.209,8.812
